,hypergraph,two_nest_set,three_nest_set
433,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5, 6], 'e2': [2, 3, 4, 6], 'e3': [1, 3, 4]}","[[1, 4]]","[[1, 4]]"
434,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5, 6], 'e2': [2, 3, 4, 6]}","[[1, 4], [1, 5], [2, 4], [3, 4], [4, 5], [4, 6]]","[[1, 4], [1, 5], [2, 4], [3, 4], [4, 5], [4, 6]]"
435,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5, 6], 'e2': [3, 4, 5, 6], 'e3': [3, 4, 6]}","[[1, 2], [1, 4], [2, 4], [3, 4], [4, 5], [4, 6]]","[[1, 2], [1, 4], [2, 4], [3, 4], [4, 5], [4, 6]]"
436,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5, 6], 'e2': [4, 6], 'e3': [3, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5], [4, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5], [4, 6]]"
437,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5], 'e2': [1, 2, 3, 4], 'e3': [1, 2]}","[[1, 4], [1, 5], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6]]","[[1, 4], [1, 5], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6]]"
438,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5], 'e2': [1, 2, 5, 6], 'e3': [4, 6]}","[[1, 3], [2, 3], [3, 5], [4, 6]]","[[1, 3], [2, 3], [3, 5], [4, 6]]"
439,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5], 'e2': [2, 3, 4, 6], 'e3': [1, 6]}",[],[]
440,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5], 'e2': [2, 4, 6], 'e3': [1, 2, 6]}","[[3, 5], [4, 6]]","[[3, 5], [4, 6]]"
441,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 5], 'e2': [3, 4, 6], 'e3': [1, 5, 6]}",[],[]
442,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 6], 'e2': [1, 3, 6], 'e3': [1, 2]}","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
443,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3, 6], 'e2': [2, 3, 4, 5], 'e3': [1, 3, 4, 5]}",[],[]
444,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3], 'e2': [2, 3, 4], 'e3': [1, 5]}","[[1, 5], [2, 4], [3, 4], [4, 6], [5, 6]]","[[1, 5], [2, 4], [3, 4], [4, 6], [5, 6]]"
445,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 3], 'e2': [4, 5], 'e3': [2, 6]}","[[1, 3], [1, 6], [2, 6], [3, 6], [4, 5]]","[[1, 3], [1, 6], [2, 6], [3, 6], [4, 5]]"
446,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [1, 2, 3, 4, 5]}","[[1, 3], [1, 6], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6]]","[[1, 3], [1, 6], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6]]"
447,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [1, 2, 3, 5], 'e3': [4, 5, 6]}","[[1, 3], [2, 3], [4, 6]]","[[1, 3], [2, 3], [4, 6]]"
448,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [1, 2, 4, 6], 'e3': [1, 2, 3, 4]}","[[1, 3], [2, 3], [3, 4], [3, 5], [3, 6], [5, 6]]","[[1, 3], [2, 3], [3, 4], [3, 5], [3, 6], [5, 6]]"
449,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [1, 3, 5, 6], 'e3': [3, 5]}","[[1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]","[[1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]"
450,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [2, 3, 6]}","[[1, 3], [1, 4], [1, 5], [2, 3], [3, 4], [3, 5], [3, 6], [4, 5]]","[[1, 3], [1, 4], [1, 5], [2, 3], [3, 4], [3, 5], [3, 6], [4, 5]]"
451,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [3, 5], 'e3': [3, 6]}","[[1, 2], [1, 4], [2, 4], [3, 5], [3, 6]]","[[1, 2], [1, 4], [2, 4], [3, 5], [3, 6]]"
452,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [4, 6], 'e3': [1, 4]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]"
453,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5, 6], 'e2': [5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
454,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [1, 2, 3, 4], 'e3': [1, 2, 4, 6]}","[[3, 5], [3, 6], [5, 6]]","[[3, 5], [3, 6], [5, 6]]"
455,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [1, 2, 3, 6], 'e3': [1, 2, 5, 6]}","[[3, 6], [4, 5]]","[[3, 6], [4, 5]]"
456,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [1, 2, 4], 'e3': [1, 4, 5]}","[[1, 2], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [4, 5], [5, 6]]","[[1, 2], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [4, 5], [5, 6]]"
457,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [1, 3, 5, 6], 'e3': [2, 3, 6]}",[],[]
458,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [1, 3, 6], 'e3': [2, 4]}","[[2, 4], [2, 5], [3, 6], [4, 5]]","[[2, 4], [2, 5], [3, 6], [4, 5]]"
459,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [2, 3, 4, 6], 'e3': [2, 3, 5]}",[],[]
460,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 5], 'e2': [2, 4, 5], 'e3': [2, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
461,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 6], 'e2': [1, 3, 4, 6], 'e3': [2, 3, 6]}","[[2, 3]]","[[2, 3]]"
462,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4, 6], 'e2': [2, 5], 'e3': [2, 3]}","[[1, 3], [1, 4], [1, 5], [1, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 3], [1, 4], [1, 5], [1, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
463,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4], 'e2': [1, 2, 5], 'e3': [2, 6]}","[[1, 4], [1, 5], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 4], [1, 5], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
464,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 4], 'e2': [2, 4, 5], 'e3': [2, 3, 4]}","[[1, 3], [1, 5], [1, 6], [3, 5], [3, 6], [5, 6]]","[[1, 3], [1, 5], [1, 6], [3, 5], [3, 6], [5, 6]]"
465,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5, 6], 'e2': [2, 3, 5], 'e3': [2, 3]}","[[1, 3], [1, 4], [1, 6], [2, 3], [3, 4], [3, 5], [3, 6], [4, 6]]","[[1, 3], [1, 4], [1, 6], [2, 3], [3, 4], [3, 5], [3, 6], [4, 6]]"
466,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5, 6], 'e2': [2, 3], 'e3': [1, 4]}","[[1, 4], [2, 3], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 4], [2, 3], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
467,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5, 6], 'e2': [2, 5], 'e3': [2, 6]}","[[1, 3], [1, 4], [1, 5], [1, 6], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 3], [1, 4], [1, 5], [1, 6], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
468,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5, 6], 'e2': [3, 4, 5, 6], 'e3': [3, 5]}","[[1, 2], [3, 4]]","[[1, 2], [3, 4]]"
469,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5], 'e2': [1, 4, 5], 'e3': [1, 2, 4]}","[[2, 4], [2, 5], [3, 6], [4, 5]]","[[2, 4], [2, 5], [3, 6], [4, 5]]"
470,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5], 'e2': [1, 5], 'e3': [1, 3]}","[[1, 3], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 3], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
471,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2, 5], 'e2': [3, 6], 'e3': [5, 6]}","[[1, 2], [1, 4], [2, 4], [3, 4], [3, 6]]","[[1, 2], [1, 4], [2, 4], [3, 4], [3, 6]]"
472,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 2], 'e2': [4, 6], 'e3': [2, 3]}","[[1, 2], [1, 3], [1, 5], [2, 3], [3, 5], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 5], [2, 3], [3, 5], [4, 5], [4, 6], [5, 6]]"
473,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 2, 3, 4, 5], 'e3': [2, 6]}","[[2, 6]]","[[2, 6]]"
474,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 2, 3, 5], 'e3': [1, 3, 4], 'e4': [5, 6]}","[[2, 4], [2, 6]]","[[2, 4], [2, 6]]"
475,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 2, 5, 6], 'e3': [1, 5, 6]}","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4]]","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4]]"
476,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 2, 5], 'e3': [3, 4]}","[[1, 2], [2, 5], [2, 6], [3, 4], [3, 6], [4, 6]]","[[1, 2], [2, 5], [2, 6], [3, 4], [3, 6], [4, 6]]"
477,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 2, 5], 'e3': [5, 6]}","[[1, 2], [2, 3], [2, 4], [2, 6], [3, 4], [3, 6], [4, 6]]","[[1, 2], [2, 3], [2, 4], [2, 6], [3, 4], [3, 6], [4, 6]]"
478,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 3, 6], 'e3': [1, 4, 5]}","[[2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 5]]","[[2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 5]]"
479,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 3, 6], 'e3': [1, 4]}","[[1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
480,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 4, 5, 6], 'e3': [1, 2, 4]}","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [5, 6]]","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [5, 6]]"
481,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [1, 4, 5, 6], 'e3': [2, 3, 5], 'e4': [2, 3]}","[[1, 4], [1, 6], [2, 3], [4, 6]]","[[1, 4], [1, 6], [2, 3], [4, 6]]"
482,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [2, 3, 4, 5, 6], 'e3': [1, 2, 3, 4, 5]}","[[1, 2], [1, 6], [2, 6]]","[[1, 2], [1, 6], [2, 6]]"
483,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [2, 3, 4, 6], 'e3': [1, 2, 5]}",[],[]
484,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [2, 5, 6], 'e3': [4, 5, 6]}","[[1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4]]","[[1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4]]"
485,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [3, 4, 5], 'e3': [1, 2, 3]}","[[1, 2], [2, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [2, 6], [4, 5], [4, 6], [5, 6]]"
486,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [3, 4, 5], 'e3': [4, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
487,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [3, 5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
488,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5, 6], 'e2': [3, 6], 'e3': [4, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 5]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 5]]"
489,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [1, 2], 'e3': [2, 5]}","[[1, 2], [2, 5], [3, 4], [3, 6], [4, 6]]","[[1, 2], [2, 5], [3, 4], [3, 6], [4, 6]]"
490,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [1, 3, 4], 'e3': [1, 4, 6]}","[[1, 6], [2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]","[[1, 6], [2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]"
491,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [2, 3, 5], 'e3': [4, 5, 6]}","[[1, 2], [1, 6], [2, 3], [4, 6]]","[[1, 2], [1, 6], [2, 3], [4, 6]]"
492,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [2, 3, 6], 'e3': [2, 5, 6]}","[[1, 4]]","[[1, 4]]"
493,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [2, 4, 5, 6]}","[[1, 3], [2, 6]]","[[1, 3], [2, 6]]"
494,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [2, 4, 6], 'e3': [2, 6]}","[[1, 3], [1, 5], [2, 6], [3, 5]]","[[1, 3], [1, 5], [2, 6], [3, 5]]"
495,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 5], 'e2': [4, 5, 6], 'e3': [1, 3]}","[[1, 2], [1, 3], [2, 3], [2, 6], [4, 6], [5, 6]]","[[1, 2], [1, 3], [2, 3], [2, 6], [4, 6], [5, 6]]"
496,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [1, 2, 5, 6], 'e3': [1, 6]}","[[2, 5], [3, 4]]","[[2, 5], [3, 4]]"
497,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [1, 4, 5, 6], 'e3': [1, 2]}","[[2, 3], [2, 5], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6]]","[[2, 3], [2, 5], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6]]"
498,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [1, 4, 5, 6], 'e3': [1, 4, 6]}","[[1, 3], [1, 5], [2, 3], [2, 5], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6]]","[[1, 3], [1, 5], [2, 3], [2, 5], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6]]"
499,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [1, 5, 6], 'e3': [3, 5, 6]}","[[1, 5], [2, 4], [3, 5]]","[[1, 5], [2, 4], [3, 5]]"
500,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [3, 5], 'e3': [1, 4]}","[[1, 2], [1, 4], [1, 6], [2, 4], [2, 5], [2, 6], [3, 5], [4, 6], [5, 6]]","[[1, 2], [1, 4], [1, 6], [2, 4], [2, 5], [2, 6], [3, 5], [4, 6], [5, 6]]"
501,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4, 6], 'e2': [3, 6], 'e3': [2, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [4, 5]]","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [4, 5]]"
502,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4], 'e2': [1, 2], 'e3': [3, 5]}","[[1, 2], [2, 4], [2, 6], [3, 5], [4, 5], [4, 6], [5, 6]]","[[1, 2], [2, 4], [2, 6], [3, 5], [4, 5], [4, 6], [5, 6]]"
503,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 4], 'e2': [2, 4], 'e3': [1, 2]}","[[1, 2], [2, 4], [3, 5], [3, 6], [5, 6]]","[[1, 2], [2, 4], [3, 5], [3, 6], [5, 6]]"
504,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5, 6], 'e2': [1, 2, 5, 6], 'e3': [2, 3]}","[[2, 3]]","[[2, 3]]"
505,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5, 6], 'e2': [1, 3, 4, 6]}","[[1, 4], [1, 5], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6]]","[[1, 4], [1, 5], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6]]"
506,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5, 6], 'e2': [4, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [4, 6]]"
507,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5], 'e2': [1, 2, 3], 'e3': [2, 3, 6]}","[[1, 5], [2, 6], [4, 5], [4, 6]]","[[1, 5], [2, 6], [4, 5], [4, 6]]"
508,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5], 'e2': [1, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
509,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5], 'e2': [2, 4, 5], 'e3': [4, 5]}","[[1, 3], [1, 6], [2, 4], [2, 6], [3, 6], [4, 6]]","[[1, 3], [1, 6], [2, 4], [2, 6], [3, 6], [4, 6]]"
510,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 5], 'e2': [5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 6], [2, 3], [2, 4], [2, 6], [3, 4], [3, 6], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 6], [2, 3], [2, 4], [2, 6], [3, 4], [3, 6], [4, 6], [5, 6]]"
511,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 3, 6], 'e2': [1, 5], 'e3': [3, 6]}","[[1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 6], [4, 5], [4, 6]]","[[1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 6], [4, 5], [4, 6]]"
512,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 5, 6], 'e2': [1, 2, 4, 5], 'e3': [1, 2, 5]}","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 6]]","[[1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 6]]"
513,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 5, 6], 'e2': [1, 2, 4, 6], 'e3': [1, 3, 4]}","[[2, 3], [2, 5], [2, 6], [3, 5], [5, 6]]","[[2, 3], [2, 5], [2, 6], [3, 5], [5, 6]]"
514,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 5, 6], 'e2': [1, 6], 'e3': [2, 3]}","[[1, 4], [1, 5], [1, 6], [2, 3], [4, 5], [4, 6], [5, 6]]","[[1, 4], [1, 5], [1, 6], [2, 3], [4, 5], [4, 6], [5, 6]]"
515,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 5, 6], 'e2': [3, 4, 5], 'e3': [4, 5]}","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6]]","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6]]"
516,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 5], 'e2': [1, 2, 6], 'e3': [2, 4, 5]}","[[3, 6]]","[[3, 6]]"
517,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 6], 'e2': [1, 2, 4], 'e3': [1, 6]}","[[1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]","[[1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [4, 6], [5, 6]]"
518,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 6], 'e2': [1, 3, 4], 'e3': [1, 4]}","[[1, 3], [1, 6], [2, 3], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6]]","[[1, 3], [1, 6], [2, 3], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6]]"
519,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 6], 'e2': [2, 4, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5]]"
520,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 4, 6], 'e2': [3, 5], 'e3': [1, 6]}","[[1, 2], [1, 4], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [4, 6]]","[[1, 2], [1, 4], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 5], [4, 6]]"
521,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 5, 6], 'e2': [1, 3, 4], 'e3': [2, 5, 6]}","[[2, 5], [2, 6], [3, 4]]","[[2, 5], [2, 6], [3, 4]]"
522,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [1, 5], 'e2': [3, 4], 'e3': [2, 6]}","[[1, 5], [2, 6], [3, 4]]","[[1, 5], [2, 6], [3, 4]]"
523,"{'e0': [1, 2, 3, 4, 5, 6], 'e1': [2, 3, 4, 5, 6], 'e2': [1, 2, 4, 6], 'e3': [2, 3, 4]}","[[1, 3], [1, 5], [1, 6], [3, 5]]","[[1, 3], [1, 5], [1, 6], [3, 5]]"
